Date,8058,三菱商事 配当,original_event,三菱商事 決算
2022-02-20,0,0,2022-03-07,
2022-02-21,72,0,2022-03-07,
2022-02-22,0,0,2022-03-07,
2022-02-23,0,0,2022-03-07,
2022-02-24,0,0,2022-03-07,
2022-02-25,68,0,2022-03-07,
2022-02-26,0,0,2022-03-07,
2022-02-27,0,0,2022-03-07,
2022-02-28,0,94,2022-03-07,
2022-03-01,65,0,2022-03-07,
2022-03-02,0,0,2022-03-07,
2022-03-03,93,0,2022-03-07,
2022-03-04,0,0,2022-03-07,
2022-03-05,0,0,2022-03-07,
2022-03-06,0,0,2022-03-07,
2022-03-07,100,0,2022-03-07,
2022-03-08,70,0,2022-03-07,
2022-03-09,0,0,2022-03-07,
2022-03-10,0,0,2022-03-07,
2022-03-11,0,0,2022-03-07,
2022-03-12,0,0,2022-03-07,
2022-03-13,78,0,2022-03-07,
2022-03-14,0,0,2022-03-07,
2022-03-15,0,0,2022-03-07,
2022-03-16,60,0,2022-03-07,
2022-03-17,0,0,2022-03-07,
2022-03-18,85,90,2022-03-07,
2022-03-19,0,0,2022-03-07,
2022-03-20,0,0,2022-03-07,
2022-03-21,0,0,2022-03-07,
2022-03-22,64,100,2022-03-07,
2022-03-07,87,0,2022-03-22,
2022-03-08,61,0,2022-03-22,
2022-03-09,0,0,2022-03-22,
2022-03-10,0,0,2022-03-22,
2022-03-11,0,0,2022-03-22,
2022-03-12,0,0,2022-03-22,
2022-03-13,68,0,2022-03-22,
2022-03-14,0,0,2022-03-22,
2022-03-15,0,0,2022-03-22,
2022-03-16,53,0,2022-03-22,
2022-03-17,0,0,2022-03-22,
2022-03-18,74,69,2022-03-22,
2022-03-19,0,0,2022-03-22,
2022-03-20,0,0,2022-03-22,
2022-03-21,0,0,2022-03-22,
2022-03-22,55,76,2022-03-22,
2022-03-23,0,96,2022-03-22,
2022-03-24,73,74,2022-03-22,
2022-03-25,74,0,2022-03-22,
2022-03-26,0,0,2022-03-22,
2022-03-27,0,64,2022-03-22,
2022-03-28,100,94,2022-03-22,
2022-03-29,59,100,2022-03-22,
2022-03-30,79,0,2022-03-22,
2022-03-31,0,98,2022-03-22,
2022-04-01,0,0,2022-03-22,
2022-04-02,0,0,2022-03-22,
2022-04-03,0,0,2022-03-22,
2022-04-04,0,0,2022-03-22,
2022-04-05,0,0,2022-03-22,
2022-04-06,57,0,2022-03-22,
2022-03-24,73,65,2022-04-08,
2022-03-25,74,0,2022-04-08,
2022-03-26,0,0,2022-04-08,
2022-03-27,0,56,2022-04-08,
2022-03-28,100,82,2022-04-08,
2022-03-29,59,87,2022-04-08,
2022-03-30,79,0,2022-04-08,
2022-03-31,0,85,2022-04-08,
2022-04-01,0,0,2022-04-08,
2022-04-02,0,0,2022-04-08,
2022-04-03,0,0,2022-04-08,
2022-04-04,0,0,2022-04-08,
2022-04-05,0,0,2022-04-08,
2022-04-06,57,0,2022-04-08,
2022-04-07,89,0,2022-04-08,
2022-04-08,48,0,2022-04-08,
2022-04-09,0,0,2022-04-08,
2022-04-10,0,0,2022-04-08,
2022-04-11,86,100,2022-04-08,
2022-04-12,0,0,2022-04-08,
2022-04-13,78,0,2022-04-08,
2022-04-14,0,0,2022-04-08,
2022-04-15,49,0,2022-04-08,
2022-04-16,0,0,2022-04-08,
2022-04-17,0,0,2022-04-08,
2022-04-18,81,0,2022-04-08,
2022-04-19,49,0,2022-04-08,
2022-04-20,46,0,2022-04-08,
2022-04-21,0,0,2022-04-08,
2022-04-22,0,0,2022-04-08,
2022-04-23,0,0,2022-04-08,
2022-06-05,0,0,2022-06-20,
2022-06-06,0,0,2022-06-20,
2022-06-07,0,0,2022-06-20,
2022-06-08,66,0,2022-06-20,
2022-06-09,0,0,2022-06-20,
2022-06-10,0,0,2022-06-20,
2022-06-11,0,0,2022-06-20,
2022-06-12,0,0,2022-06-20,
2022-06-13,0,0,2022-06-20,
2022-06-14,0,0,2022-06-20,
2022-06-15,0,0,2022-06-20,
2022-06-16,0,0,2022-06-20,
2022-06-17,0,0,2022-06-20,
2022-06-18,0,0,2022-06-20,
2022-06-19,0,0,2022-06-20,
2022-06-20,0,74,2022-06-20,
2022-06-21,0,0,2022-06-20,
2022-06-22,91,0,2022-06-20,
2022-06-23,66,100,2022-06-20,
2022-06-24,66,62,2022-06-20,
2022-06-25,0,0,2022-06-20,
2022-06-26,0,0,2022-06-20,
2022-06-27,64,92,2022-06-20,
2022-06-28,0,0,2022-06-20,
2022-06-29,73,0,2022-06-20,
2022-06-30,0,0,2022-06-20,
2022-07-01,100,88,2022-06-20,
2022-07-02,0,0,2022-06-20,
2022-07-03,0,0,2022-06-20,
2022-07-04,0,50,2022-06-20,
2022-07-05,0,0,2022-06-20,
2022-06-07,0,0,2022-06-22,
2022-06-08,47,0,2022-06-22,
2022-06-09,0,0,2022-06-22,
2022-06-10,0,0,2022-06-22,
2022-06-11,0,0,2022-06-22,
2022-06-12,0,0,2022-06-22,
2022-06-13,0,0,2022-06-22,
2022-06-14,0,0,2022-06-22,
2022-06-15,0,0,2022-06-22,
2022-06-16,0,0,2022-06-22,
2022-06-17,0,0,2022-06-22,
2022-06-18,0,0,2022-06-22,
2022-06-19,0,0,2022-06-22,
2022-06-20,0,74,2022-06-22,
2022-06-21,0,0,2022-06-22,
2022-06-22,65,0,2022-06-22,
2022-06-23,47,100,2022-06-22,
2022-06-24,47,62,2022-06-22,
2022-06-25,0,0,2022-06-22,
2022-06-26,0,0,2022-06-22,
2022-06-27,46,92,2022-06-22,
2022-06-28,0,0,2022-06-22,
2022-06-29,52,0,2022-06-22,
2022-06-30,0,0,2022-06-22,
2022-07-01,71,88,2022-06-22,
2022-07-02,0,0,2022-06-22,
2022-07-03,0,0,2022-06-22,
2022-07-04,0,50,2022-06-22,
2022-07-05,0,0,2022-06-22,
2022-07-06,0,0,2022-06-22,
2022-07-07,100,0,2022-06-22,
2022-10-17,0,0,2022-11-01,0.0
2022-10-18,0,0,2022-11-01,0.0
2022-10-19,52,0,2022-11-01,0.0
2022-10-20,0,0,2022-11-01,0.0
2022-10-21,0,0,2022-11-01,0.0
2022-10-22,0,0,2022-11-01,0.0
2022-10-23,0,0,2022-11-01,0.0
2022-10-24,0,0,2022-11-01,0.0
2022-10-25,0,0,2022-11-01,0.0
2022-10-26,0,65,2022-11-01,0.0
2022-10-27,0,0,2022-11-01,0.0
2022-10-28,0,0,2022-11-01,0.0
2022-10-29,0,0,2022-11-01,0.0
2022-10-30,0,0,2022-11-01,0.0
2022-10-31,35,0,2022-11-01,0.0
2022-11-01,0,76,2022-11-01,22.0
2022-11-02,0,0,2022-11-01,0.0
2022-11-03,0,0,2022-11-01,0.0
2022-11-04,38,0,2022-11-01,26.0
2022-11-05,0,0,2022-11-01,0.0
2022-11-06,0,0,2022-11-01,0.0
2022-11-07,51,58,2022-11-01,22.0
2022-11-08,100,100,2022-11-01,100.0
2022-11-09,76,0,2022-11-01,17.0
2022-11-10,0,0,2022-11-01,0.0
2022-11-11,37,0,2022-11-01,0.0
2022-11-12,0,0,2022-11-01,0.0
2022-11-13,0,0,2022-11-01,0.0
2022-11-14,33,0,2022-11-01,0.0
2022-11-15,0,69,2022-11-01,0.0
2022-11-16,43,0,2022-11-01,0.0
2023-01-22,0,35,2023-02-06,0.0
2023-01-23,49,0,2023-02-06,0.0
2023-01-24,0,46,2023-02-06,0.0
2023-01-25,0,0,2023-02-06,0.0
2023-01-26,0,0,2023-02-06,0.0
2023-01-27,73,0,2023-02-06,0.0
2023-01-28,0,0,2023-02-06,0.0
2023-01-29,0,0,2023-02-06,0.0
2023-01-30,0,0,2023-02-06,0.0
2023-01-31,0,0,2023-02-06,0.0
2023-02-01,0,0,2023-02-06,0.0
2023-02-02,0,44,2023-02-06,0.0
2023-02-03,100,100,2023-02-06,100.0
2023-02-04,0,0,2023-02-06,0.0
2023-02-05,0,0,2023-02-06,0.0
2023-02-06,69,72,2023-02-06,0.0
2023-02-07,0,46,2023-02-06,0.0
2023-02-08,0,43,2023-02-06,0.0
2023-02-09,0,36,2023-02-06,24.0
2023-02-10,0,0,2023-02-06,0.0
2023-02-11,0,0,2023-02-06,0.0
2023-02-12,0,0,2023-02-06,0.0
2023-02-13,0,51,2023-02-06,0.0
2023-02-14,0,0,2023-02-06,0.0
2023-02-15,0,45,2023-02-06,0.0
2023-02-16,0,51,2023-02-06,0.0
2023-02-17,0,0,2023-02-06,0.0
2023-02-18,0,0,2023-02-06,0.0
2023-02-19,0,0,2023-02-06,0.0
2023-02-20,53,0,2023-02-06,0.0
2023-02-21,44,61,2023-02-06,0.0
